C,R,RT,block,cond,count,day,prestim_R,stim
n,n,1.6329902671277523,1,single,1,2,[],spoil
y,y,0.5124230533838272,1,single,1,2,[],macabre
n,n,0.5659243166446686,1,single,1,2,[],climactic
y,y,0.4508824329823256,1,single,1,2,[],macabre
n,n,0.5007714554667473,1,single,1,2,[],pillar
n,n,0.6300958469510078,1,single,1,2,[],rhyme
n,n,0.3485425878316164,1,single,1,2,[],noxious
y,y,0.5597034003585577,1,single,1,2,[],macabre
n,n,0.4825047235935926,1,single,1,2,[],mortar
y,y,0.4037928842008114,1,single,1,2,[],macabre
y,y,0.4303648862987757,1,single,1,2,[],macabre
n,n,0.3581858519464731,1,single,1,2,[],trough
y,y,0.5005022343248129,1,single,1,2,[],macabre
y,y,0.39993095211684704,1,single,1,2,[],macabre
n,n,0.47446777112782,1,single,1,2,[],solvent
y,y,0.3926106169819832,1,single,1,2,[],macabre
n,n,0.4682252202183008,1,single,1,2,[],noxious
n,n,0.6023631300777197,1,single,1,2,[],mortar
n,n,0.5325599052011967,1,single,1,2,[],spoil
y,y,0.4442276395857334,1,single,1,2,[],macabre
y,y,0.4461536481976509,1,single,1,2,[],macabre
y,y,0.5120609868317842,1,single,1,2,[],macabre
n,n,0.3954801019281149,1,single,1,2,[],trough
n,n,0.4529286287724972,1,single,1,2,[],rhyme
y,y,0.4788873735815287,1,single,1,2,[],macabre
n,n,0.4140974786132574,1,single,1,2,[],solvent
n,n,0.3627022039145231,1,single,1,2,[],pillar
n,n,0.4149961825460196,1,single,1,2,[],climactic
y,y,0.4275777339935303,1,single,1,2,[],macabre
y,y,0.4594431053847074,1,single,1,2,[],macabre
y,y,0.384517477825284,1,single,1,2,[],macabre
y,y,0.3550489507615566,1,single,1,2,[],macabre
y,y,0.5967052932828665,2,multi,2,2,[],drivel
y,y,0.621848564594984,2,multi,2,2,[],figurative
n,n,0.5280405469238758,2,multi,2,2,[],unified
n,n,0.5666331239044666,2,multi,2,2,[],facet
n,n,0.5395374037325382,2,multi,2,2,[],calculate
y,y,0.652279494330287,2,multi,2,2,[],demeanour
y,y,0.8528304360806942,2,multi,2,2,[],navigation
n,n,0.6118819992989302,2,multi,2,2,[],dissolve
y,y,0.4461124837398529,2,multi,2,2,[],supremacy
n,n,0.616055216640234,2,multi,2,2,[],assemble
n,n,0.6923780255019665,2,multi,2,2,[],weave
y,y,1.3242911100387573,2,multi,2,2,[],canon
y,y,0.6511320024728775,2,multi,2,2,[],proclaim
n,n,0.5557017512619495,2,multi,2,2,[],nostril
n,n,0.7585137225687504,2,multi,2,2,[],arbitrary
y,y,0.6559310983866453,2,multi,2,2,[],lurch
y,y,0.7545195836573839,2,multi,2,2,[],figurative
n,n,0.49194096215069294,2,multi,2,2,[],arbitrary
n,n,0.5252603050321341,2,multi,2,2,[],nostril
y,y,1.0588342938572168,2,multi,2,2,[],drivel
y,y,0.9695943091064692,2,multi,2,2,[],lurch
y,y,0.6026581916958094,2,multi,2,2,[],navigation
y,y,0.8598442897200584,2,multi,2,2,[],proclaim
y,y,0.844029389321804,2,multi,2,2,[],canon
n,n,0.6031861174851656,2,multi,2,2,[],calculate
n,n,0.6533290334045887,2,multi,2,2,[],unified
n,n,0.7498614080250263,2,multi,2,2,[],assemble
y,y,0.6371884234249592,2,multi,2,2,[],supremacy
y,y,1.6435848157852888,2,multi,2,2,[],demeanour
n,n,0.7160991746932268,2,multi,2,2,[],facet
n,n,0.6701258681714535,2,multi,2,2,[],dissolve
n,n,0.6738219410181046,2,multi,2,2,[],weave
