,stim,S,C,R,RT,block,cond,day,prestim_R
0,evinct,N,d,d,1.415294248610735,1,multi,1,[]
1,ecinhat,N,d,d,0.5009586475789547,1,multi,1,[]
2,sluca,N,d,d,0.5043942127376795,1,multi,1,[]
3,bicerimal,N,d,d,0.5078550204634666,1,multi,1,[]
4,firmicane,N,d,d,0.5512490961700678,1,multi,1,[]
5,shroux,N,d,d,0.5620266292244196,1,multi,1,[]
6,shrint,N,d,d,0.7029797844588757,1,multi,1,[]
7,saffer,N,d,d,0.5908879060298204,1,multi,1,[]
8,etshery,N,d,d,0.5179000087082386,1,multi,1,[]
9,stifling,W,s,d,0.42743020318448544,1,multi,1,[]
10,cloak,P,j,j,0.8693574499338865,1,multi,1,[]
11,inexorably,W,s,s,1.1835930533707142,1,multi,1,[]
12,suffice,W,s,s,0.7774255611002445,1,multi,1,[]
13,ericemity,N,d,d,0.6849585361778736,1,multi,1,[]
14,cashmere,W,s,s,1.0027568060904741,1,multi,1,[]
15,colgurudia,N,d,d,0.642156083136797,1,multi,1,[]
16,omamiette,N,d,d,0.9546853229403496,1,multi,1,[]
17,fivish,N,d,d,1.2586620040237904,1,multi,1,[]
18,gouging,W,s,d,0.553153470158577,1,multi,1,[]
19,slavel,N,d,d,0.6961660403758287,1,multi,1,[]
20,lenient,P,j,j,0.6240927707403898,1,multi,1,[]
21,spoxtre,N,d,d,1.086460942402482,1,multi,1,[]
22,ancopance,N,d,d,2.505542306229472,1,multi,1,[]
23,scoundrel,W,s,d,0.4528457000851631,1,multi,1,[]
24,eluseition,N,d,d,0.6120066940784454,1,multi,1,[]
25,swivel,W,s,s,0.7832348346710205,1,multi,1,[]
26,responsive,W,s,s,0.5419519748538733,1,multi,1,[]
27,blatine,N,d,d,0.8375756088644266,1,multi,1,[]
28,elastic,P,j,j,0.9636594410985708,1,multi,1,[]
29,confection,W,s,s,1.4596786703914404,1,multi,1,[]
30,arthritis,W,s,s,0.6797069329768419,1,multi,1,[]
31,scoud,N,d,d,0.8375010937452316,1,multi,1,[]
32,collegiate,W,s,d,0.7635366693139076,1,multi,1,[]
33,conjecture,P,j,j,0.7051320448517799,1,multi,1,[]
34,indulging,W,s,s,1.387184141203761,1,multi,1,[]
35,recoitism,N,d,d,1.6195842288434505,1,multi,1,[]
36,ingretment,N,d,d,1.5518500339239836,1,multi,1,[]
37,ordeal,W,s,s,2.6986277867108583,1,multi,1,[]
38,congregate,W,s,s,0.72245710529387,1,multi,1,[]
39,grumbling,W,s,s,0.7756569981575012,1,multi,1,[]
40,mortal,W,s,s,0.557286424562335,1,multi,1,[]
41,gallit,N,d,d,0.6721059624105692,1,multi,1,[]
42,cottafting,N,d,d,0.7178950794041157,1,multi,1,[]
43,tidal,W,s,s,0.874040562659502,1,multi,1,[]
44,anose,N,d,d,1.0224558729678392,1,multi,1,[]
45,bepidity,N,d,d,0.8319754619151354,1,multi,1,[]
46,shelving,W,s,s,0.692990381270647,1,multi,1,[]
47,treesling,N,d,d,1.3979607746005058,1,multi,1,[]
48,orsial,N,d,d,0.5604780111461878,1,multi,1,[]
49,acronym,P,j,s,0.6453918386250734,1,multi,1,[]
50,shrog,N,d,d,5.381917817518115,1,multi,1,[]
51,antenill,N,d,d,0.7981537356972694,1,multi,1,[]
52,wrounce,N,d,d,1.31893764808774,1,multi,1,[]
53,hereditary,W,s,s,0.7738259378820658,1,multi,1,[]
54,hassle,W,s,s,1.2093210369348526,1,multi,1,[]
55,vebomidacy,N,d,d,0.7284788098186255,1,multi,1,[]
56,sacation,N,d,d,0.9245557654649019,1,multi,1,[]
57,glimmer,W,s,s,0.8723308928310871,1,multi,1,[]
58,cowona,N,d,d,0.9167703036218882,1,multi,1,[]
59,enhancing,W,s,s,0.8453995306044817,1,multi,1,[]
60,daisy,P,j,s,0.6215826496481895,1,multi,1,[]
61,saliming,N,d,d,1.892033265903592,1,multi,1,[]
62,insert,W,s,s,1.2024733424186707,1,multi,1,[]
63,whemicenal,N,d,d,1.1503704637289047,1,multi,1,[]
64,quandary,W,s,s,1.162892822176218,1,multi,1,[]
65,denoting,W,s,s,1.330556495115161,1,multi,1,[]
66,lyric,W,s,s,1.1155686061829329,1,multi,1,[]
67,aggravate,P,j,j,0.6758648343384266,1,multi,1,[]
68,blazer,W,s,s,1.4096691627055407,1,multi,1,[]
69,extremist,W,s,s,0.6062605194747448,1,multi,1,[]
70,fidshe,N,d,d,0.5604482647031546,1,multi,1,[]
71,stallion,W,s,s,0.8133875299245119,1,multi,1,[]
72,capeclon,N,d,d,0.8003005888313055,1,multi,1,[]
73,atlegitous,N,d,d,1.1611074339598417,1,multi,1,[]
