,C,R,RT,S,cond,day,prestim_R,stim
0,k,k,1.1490318719297647,W,practice,1,[],persuade
1,j,j,0.6276830788701773,N,practice,1,[],cemmit
2,j,j,0.586065674200654,N,practice,1,[],fruqoant
3,k,k,0.41710036993026733,W,practice,1,[],planet
4,j,j,0.5486857909709215,N,practice,1,[],docint
5,k,j,0.36329653300344944,W,practice,1,[],desk
6,k,k,0.3978105392307043,W,practice,1,[],handle
7,k,k,0.4013786129653454,W,practice,1,[],device
8,j,j,0.5399208012968302,N,practice,1,[],daluvory
9,j,k,0.3875753525644541,N,practice,1,[],berst
10,k,k,0.5612285826355219,W,practice,1,[],album
11,j,j,0.5101545117795467,N,practice,1,[],imorgu
12,k,k,0.3775799423456192,W,practice,1,[],harm
13,j,k,0.3460126370191574,N,practice,1,[],menaol
14,j,j,0.8002939783036709,N,practice,1,['k'],bottir
15,k,k,0.4320652410387993,W,practice,1,[],bold
16,j,j,0.639799203723669,N,practice,1,[],pluen
17,k,k,0.47828793711960316,W,practice,1,[],escape
18,j,j,0.5734730083495378,N,practice,1,[],mitoun
19,j,j,0.5943940840661526,N,practice,1,[],onstont
20,k,k,0.3565996717661619,W,practice,1,[],seventh
21,j,j,0.5458499640226364,N,practice,1,[],fruod
22,k,k,0.4345152694731951,W,practice,1,[],delay
23,k,j,0.30848401971161366,W,practice,1,[],silence
