C,R,RT,block,cond,count,day,prestim_R,stim
y,y,0.5826791857834905,1,multi,1,2,[],coyote
n,n,0.4535547515843064,1,multi,1,2,[],rabble
y,y,0.6075036888942122,1,multi,1,2,[],ferocious
y,y,0.4736850168555975,1,multi,1,2,[],tendencies
n,n,0.4718130910769105,1,multi,1,2,[],incognito
y,y,0.4949979314114898,1,multi,1,2,[],stallion
n,n,0.4472481936682016,1,multi,1,2,[],scrape
y,y,0.6171682956628501,1,multi,1,2,[],divulge
n,n,0.4833460180088878,1,multi,1,2,[],corollary
n,n,0.4675713607575744,1,multi,1,2,[],breadth
y,n,0.7126368226017803,1,multi,1,2,[],cheetah
n,n,0.4638836965896189,1,multi,1,2,[],biographer
y,y,0.5788046293891966,1,multi,1,2,[],coalesce
y,y,0.7128011793829501,1,multi,1,2,[],detriment
n,n,0.451867013471201,1,multi,1,2,[],pedantic
n,n,0.4777768128551543,1,multi,1,2,[],faint
n,n,0.5489664894994348,1,multi,1,2,[],incognito
n,n,0.4797599127050489,1,multi,1,2,[],scrape
n,n,0.5579015559051186,1,multi,1,2,[],rabble
n,n,0.472679345170036,1,multi,1,2,[],corollary
y,y,0.5668249039445072,1,multi,1,2,[],cheetah
n,n,0.44477142207324505,1,multi,1,2,[],pedantic
y,y,0.5325683576520532,1,multi,1,2,[],ferocious
y,y,0.6602015609387308,1,multi,1,2,[],coyote
y,y,0.5918795668985695,1,multi,1,2,[],stallion
n,n,0.4789384286850691,1,multi,1,2,[],breadth
n,n,0.4220730422530323,1,multi,1,2,[],biographer
y,y,0.5578679032623768,1,multi,1,2,[],tendencies
n,n,0.4705517194233835,1,multi,1,2,[],faint
y,y,0.5417125509120524,1,multi,1,2,[],coalesce
y,y,0.5413823346607387,1,multi,1,2,[],detriment
y,n,0.5660532980691642,1,multi,1,2,[],divulge
n,n,0.4275184541475028,1,multi,2,2,[],tarpaulin
y,y,0.4033330497331917,1,multi,2,2,[],divulge
n,n,0.4618438079487533,1,multi,2,2,[],engraving
y,y,0.4328124292660505,1,multi,2,2,[],coalesce
n,n,0.479549583978951,1,multi,2,2,[],semester
y,y,0.5027338231448084,1,multi,2,2,[],cheetah
y,y,0.6581111934501678,1,multi,2,2,[],detriment
n,n,0.5007654463406652,1,multi,2,2,[],solvent
y,y,0.44608477503061295,1,multi,2,2,[],stallion
y,y,0.5679708952084184,1,multi,2,2,[],tendencies
n,n,0.4688576713670045,1,multi,2,2,[],incur
n,n,0.6040963628329337,1,multi,2,2,[],cascade
n,n,0.4772008126601577,1,multi,2,2,[],municipal
y,y,0.5163769489154221,1,multi,2,2,[],coyote
n,n,0.4499064488336444,1,multi,2,2,[],apathetic
y,y,0.6838067583739758,1,multi,2,2,[],ferocious
y,y,0.4986540460959077,1,multi,2,2,[],detriment
y,y,0.555975244846195,1,multi,2,2,[],cheetah
n,n,0.5096890949644148,1,multi,2,2,[],semester
n,n,0.5301450695842505,1,multi,2,2,[],apathetic
y,y,0.5297863089945167,1,multi,2,2,[],stallion
n,n,0.4952878844924271,1,multi,2,2,[],cascade
y,y,0.4885892136953771,1,multi,2,2,[],tendencies
n,n,0.5618950980715454,1,multi,2,2,[],municipal
y,y,0.5427816219162196,1,multi,2,2,[],ferocious
n,n,0.5104123256169261,1,multi,2,2,[],incur
y,y,0.5698217882309109,1,multi,2,2,[],divulge
n,n,0.4707347052171826,1,multi,2,2,[],engraving
y,y,0.573923199204728,1,multi,2,2,[],coalesce
n,n,0.4748129800427705,1,multi,2,2,[],tarpaulin
y,y,0.5529402010142803,1,multi,2,2,[],coyote
n,n,0.4997363379225135,1,multi,2,2,[],solvent
y,y,0.4776983903720975,2,single,3,2,[],babble
n,n,0.3478504251688719,2,single,3,2,[],snack
y,y,0.4459303335752338,2,single,3,2,[],babble
y,y,0.4238464143127203,2,single,3,2,[],babble
n,n,0.3585895113646984,2,single,3,2,[],unified
y,y,0.3787483216729015,2,single,3,2,[],babble
y,y,0.41706421319395304,2,single,3,2,[],babble
n,n,0.4366638492792845,2,single,3,2,[],aghast
n,n,0.4604306991677731,2,single,3,2,[],lilac
n,n,0.3924860949628055,2,single,3,2,[],succumb
y,y,0.7480309472884983,2,single,3,2,[],babble
y,y,0.445426446152851,2,single,3,2,[],babble
n,n,0.4233707708772272,2,single,3,2,[],impediment
n,n,0.39915562025271356,2,single,3,2,[],cardigan
y,y,0.45762881939299405,2,single,3,2,[],babble
n,n,0.40570856304839253,2,single,3,2,[],irritation
y,y,0.37030302081257105,2,single,3,2,[],babble
n,n,0.3766636629588902,2,single,3,2,[],lilac
n,n,0.5749384863302112,2,single,3,2,[],unified
y,y,0.4118189141154289,2,single,3,2,[],babble
n,n,0.481529078213498,2,single,3,2,[],cardigan
n,n,0.4108240590430796,2,single,3,2,[],impediment
y,y,0.4554591281339526,2,single,3,2,[],babble
n,n,0.36242680926807225,2,single,3,2,[],aghast
y,y,0.36871173325926065,2,single,3,2,[],babble
y,y,0.48490996286273,2,single,3,2,[],babble
n,n,0.341163472738117,2,single,3,2,[],snack
n,n,0.3912409485783428,2,single,3,2,[],succumb
n,n,0.38576999702490866,2,single,3,2,[],irritation
y,y,0.490147449541837,2,single,3,2,[],babble
y,y,0.38748147222213447,2,single,3,2,[],babble
y,y,0.39588020043447614,2,single,3,2,[],babble
