,stim,S,C,R,RT,block,cond,day,prestim_R
0,sibbletic,N,j,j,4.41411961033009,1,multi,2,[]
1,thyme,W,k,k,0.8905181689187884,1,multi,2,[]
2,constegent,N,j,j,0.8149227055255324,1,multi,2,[]
3,dynamite,W,k,k,0.6418266391847283,1,multi,2,[]
4,stape,N,j,k,1.058325668796897,1,multi,2,[]
5,asparagus,W,k,k,0.6543264777865261,1,multi,2,[]
6,brunt,W,k,j,0.8948130821809173,1,multi,2,[]
7,enigma,W,k,k,0.735414526425302,1,multi,2,[]
8,fisking,N,j,j,0.7694000492338091,1,multi,2,[]
9,coalesce,P,d,d,0.9169054147787392,1,multi,2,[]
10,aerial,W,k,k,0.6625728674698621,1,multi,2,[]
11,ilmesable,N,j,j,0.6172055539209396,1,multi,2,[]
12,eluch,N,j,j,0.5814857203513384,1,multi,2,[]
13,spied,W,k,j,0.5645100856199861,1,multi,2,[]
14,crouch,W,k,k,0.8045201452914625,1,multi,2,[]
15,poudly,N,j,j,0.9791927761398256,1,multi,2,[]
16,meditation,W,k,k,0.790368324611336,1,multi,2,[]
17,glucose,W,k,k,0.6679644952528179,1,multi,2,[]
18,magjem,N,j,j,0.6156313933897763,1,multi,2,[]
19,mimpling,N,j,j,0.6119160859379917,1,multi,2,[]
20,tendencies,P,d,d,0.8162150257267058,1,multi,2,[]
21,emognance,N,j,j,0.6911054668016732,1,multi,2,[]
22,irrabory,N,j,j,0.5469990142155439,1,multi,2,[]
23,curtiff,N,j,j,0.5327333153691143,1,multi,2,[]
24,detriment,P,d,k,0.5253814237657934,1,multi,2,[]
25,chabing,N,j,j,1.1149338530376554,1,multi,2,[]
26,innopent,N,j,j,0.6181415170431137,1,multi,2,[]
27,barter,W,k,j,0.5894006921444088,1,multi,2,[]
28,pledging,W,k,k,0.5365634022746235,1,multi,2,[]
29,impromptu,W,k,k,0.8492444541770965,1,multi,2,[]
30,shrog,N,j,j,0.5843627173453569,1,multi,2,[]
31,tuition,W,k,k,0.6473826237488538,1,multi,2,[]
32,smitter,N,j,j,0.6249309296254069,1,multi,2,[]
33,coyote,P,d,d,0.7833166022319347,1,multi,2,[]
34,dellitunt,N,j,j,0.7729534034151584,1,multi,2,[]
35,pomboes,N,j,j,0.5684576560743153,1,multi,2,[]
36,cuftivent,N,j,j,0.5424775467254221,1,multi,2,[]
37,rereling,N,j,j,0.5900497066322714,1,multi,2,[]
38,microphone,W,k,k,0.6530521858949214,1,multi,2,[]
39,deflect,W,k,k,0.566629899200052,1,multi,2,[]
40,trite,W,k,j,0.6344624282792211,1,multi,2,[]
41,saxophone,W,k,k,0.5580989643931389,1,multi,2,[]
42,deficient,W,k,k,1.0648912314791232,1,multi,2,[]
43,treesling,N,j,j,0.5618347038980573,1,multi,2,[]
44,ridicule,W,k,k,0.7506258031353354,1,multi,2,[]
45,commotion,W,k,k,0.7659482536837459,1,multi,2,[]
46,needle,W,k,k,0.5433161575347185,1,multi,2,[]
47,furtament,N,j,j,0.7440322970505804,1,multi,2,[]
48,ferocious,P,d,d,0.8142821043729782,1,multi,2,[]
49,pitiful,W,k,k,0.7259860888589174,1,multi,2,[]
50,furbour,N,j,j,0.538106013322249,1,multi,2,[]
51,vitafod,N,j,j,0.8988030189648271,1,multi,2,[]
52,sposter,N,j,j,0.6172638451680541,1,multi,2,[]
53,cheetah,P,d,k,1.0295674167573452,1,multi,2,[]
54,chimney,W,k,k,0.7670678035356104,1,multi,2,[]
55,snight,N,j,j,0.72045744699426,1,multi,2,[]
56,mesified,N,j,j,0.7155300448648632,1,multi,2,[]
57,ensuing,W,k,j,0.557522363262251,1,multi,2,[]
58,energies,W,k,k,1.051432594191283,1,multi,2,[]
59,prubtatist,N,j,j,0.6901992503553629,1,multi,2,[]
60,gregarious,W,k,k,0.6100904322229326,1,multi,2,[]
61,cloravies,N,j,j,0.7253259569406509,1,multi,2,[]
62,horrified,W,k,k,0.6425093063153327,1,multi,2,[]
63,bemiiphy,N,j,j,0.5150494738481939,1,multi,2,[]
64,boppring,N,j,j,0.7024208540096879,1,multi,2,[]
65,laren,N,j,j,0.6223195476923138,1,multi,2,[]
66,negligible,W,k,k,0.618615357670933,1,multi,2,[]
67,qualifier,W,k,k,0.7428944180719554,1,multi,2,[]
68,divulge,P,d,d,0.9571334952488542,1,multi,2,[]
69,intrusion,W,k,k,0.7181792859919369,1,multi,2,[]
70,complacent,W,k,j,0.7062969128601253,1,multi,2,[]
71,regrating,N,j,j,0.8074256870895624,1,multi,2,[]
72,bluff,W,k,k,0.6871440748218447,1,multi,2,[]
73,debris,W,k,k,0.668935913592577,1,multi,2,[]
74,etceasing,N,j,j,0.6965980522800237,1,multi,2,[]
75,erpusingly,N,j,j,0.5364975994452834,1,multi,2,[]
76,atflirant,N,j,j,0.7441206350922585,1,multi,2,[]
77,lealt,N,j,j,0.9813005710020661,1,multi,2,[]
78,pretatance,N,j,j,0.7285076302941889,1,multi,2,[]
79,bucirittic,N,j,j,0.5406560995616019,1,multi,2,[]
80,stallion,P,d,d,1.0772651731967926,1,multi,2,[]
81,clentigy,N,j,j,0.6701579238288105,1,multi,2,[]
82,saupour,N,j,j,0.5788797468412668,1,multi,2,[]
83,revoyed,N,j,j,0.6029356487561017,1,multi,2,[]
84,frequency,W,k,k,0.7320727028418332,1,multi,2,[]
85,compile,W,k,k,0.7932336034718901,1,multi,2,[]
86,flaxing,N,j,k,0.7828505737707019,1,multi,2,[]
87,poker,W,k,k,0.5995857124216855,1,multi,2,[]
88,scout,W,k,k,0.7218161709606647,1,multi,2,[]
89,interrupt,W,k,k,0.837873179698363,1,multi,2,[]
90,inertia,W,k,k,0.7148882418405265,1,multi,2,[]
91,coalesce,P,d,d,0.8859450204763561,1,multi,2,[]
92,essant,N,j,j,1.0183301519136876,1,multi,2,[]
93,ascerlern,N,j,j,0.547827408881858,1,multi,2,[]
94,fivish,N,j,j,0.6066374348010868,1,multi,2,[]
95,polyester,W,k,k,0.7149083733092993,1,multi,2,[]
96,defogue,N,j,j,0.6369091526139528,1,multi,2,[]
97,cheetah,P,d,d,0.6673139783088118,1,multi,2,[]
98,turquoise,W,k,k,0.6700013792142272,1,multi,2,[]
99,patio,W,k,k,0.6175994698423892,1,multi,2,[]
100,enscunuous,N,j,j,0.5018849964253604,1,multi,2,[]
101,lelipall,N,j,j,0.6093074083328247,1,multi,2,[]
102,hassle,W,k,j,0.43653434701263905,1,multi,2,[]
103,colel,N,j,j,0.6074964778963476,1,multi,2,[]
104,psychiatry,W,k,k,0.761634711176157,1,multi,2,[]
105,coyote,P,d,d,0.7790307030081749,1,multi,2,[]
106,acant,N,j,j,1.0225277128629386,1,multi,2,[]
107,inusupibly,N,j,j,0.7120349819306284,1,multi,2,[]
108,brilleight,N,j,j,0.6110858884640038,1,multi,2,[]
109,satchel,W,k,k,0.6463213649112731,1,multi,2,[]
110,descent,W,k,k,0.7198883576784283,1,multi,2,[]
111,hinder,W,k,k,0.7538846971001476,1,multi,2,[]
112,deseave,N,j,j,0.7712875995784998,1,multi,2,[]
113,denmuciate,N,j,j,0.6467982102185488,1,multi,2,[]
114,attach,W,k,k,0.6313213182147592,1,multi,2,[]
115,ubiquitous,W,k,k,0.6937670272309333,1,multi,2,[]
116,detriment,P,d,d,0.7095651212148368,1,multi,2,[]
117,borilation,N,j,j,0.5355817680247128,1,multi,2,[]
118,angrily,W,k,k,0.6402930421754718,1,multi,2,[]
119,abject,W,k,j,0.5746860918588936,1,multi,2,[]
120,wombat,W,k,k,0.5928140275646001,1,multi,2,[]
121,copied,W,k,k,0.6259350990876555,1,multi,2,[]
122,notch,W,k,k,0.5422323632519692,1,multi,2,[]
123,papmarine,N,j,k,0.4938468320760876,1,multi,2,[]
124,stadasty,N,j,j,0.5521511675324291,1,multi,2,[]
125,tendencies,P,d,d,0.7229525472503155,1,multi,2,[]
126,robot,W,k,k,0.6630647366400808,1,multi,2,[]
127,attic,W,k,k,0.7227452229708433,1,multi,2,[]
128,tangle,W,k,k,0.5988600782584399,1,multi,2,[]
129,stove,W,k,k,0.5770462809596211,1,multi,2,[]
130,hospoll,N,j,j,0.5739400256425142,1,multi,2,[]
131,relinquish,W,k,k,0.746845293790102,1,multi,2,[]
132,interrore,N,j,j,0.6021276856772602,1,multi,2,[]
133,pultinide,N,j,j,0.5392532066907734,1,multi,2,[]
134,shudder,W,k,k,0.6439410441089422,1,multi,2,[]
135,liaising,W,k,j,0.5644430809188634,1,multi,2,[]
136,elastic,W,k,k,0.587419695686549,1,multi,2,[]
137,ordeal,W,k,k,0.7874820129945874,1,multi,2,[]
138,quarantine,W,k,k,0.8251020170282573,1,multi,2,[]
139,rannation,N,j,j,0.6679566830862314,1,multi,2,[]
140,leash,W,k,k,0.5906145896296948,1,multi,2,[]
141,ferocious,P,d,d,0.9736169606912881,1,multi,2,[]
142,tyletolian,N,j,j,0.5746326080989093,1,multi,2,[]
143,inflating,W,k,k,0.6035810576286167,1,multi,2,[]
144,rooling,N,j,j,0.6686904300004244,1,multi,2,[]
145,promenade,W,k,k,0.7123742119874805,1,multi,2,[]
