,C,R,RT,S,cond,day,prestim_R,stim
0,k,j,2.3255898295901716,W,practice,1,[],delay
1,j,j,0.6575997944455594,N,practice,1,['k'],berst
2,k,k,0.4932888597249985,W,practice,1,[],escape
3,k,k,0.46152771380729973,W,practice,1,[],persuade
4,k,k,0.2906058458611369,W,practice,1,[],harm
5,k,k,0.02823813888244331,W,practice,1,[],album
6,k,k,0.1737763297278434,W,practice,1,[],planet
7,k,k,0.18952154112048447,W,practice,1,[],desk
8,j,k,0.19340571225620806,N,practice,1,[],docint
9,k,j,0.5114014716818929,W,practice,1,[],seventh
10,j,j,0.49600600684061646,N,practice,1,['k'],pluen
11,j,k,0.6354152176063508,N,practice,1,[],daluvory
12,k,k,0.5158739625476301,W,practice,1,[],silence
13,j,j,0.47928396868519485,N,practice,1,[],mitoun
14,k,k,0.349419177044183,W,practice,1,[],bold
15,j,j,0.495492204092443,N,practice,1,[],menaol
16,j,k,0.5388983520679176,N,practice,1,[],onstont
17,j,j,0.511749715777114,N,practice,1,['j'],cemmit
18,j,j,0.5551534604746848,N,practice,1,[],fruod
19,k,k,0.35794951068237424,W,practice,1,[],handle
20,k,k,0.4511855479795486,W,practice,1,[],device
21,j,j,0.4541638034861535,N,practice,1,[],bottir
22,j,j,0.5142228817567229,N,practice,1,[],fruqoant
23,j,j,0.5367355714552104,N,practice,1,[],imorgu
