C,R,RT,block,cond,count,day,prestim_R,stim
n,lctrl,0.8798295976953341,1,multi,1,1,[],tedious
y,n,1.1124543436483236,1,multi,1,1,[],wallet
y,y,0.9766535141118312,1,multi,1,1,[],acrid
n,n,0.8759267984005419,1,multi,1,1,[],municipal
n,n,0.8562848018883642,1,multi,1,1,[],singular
y,y,0.8334887762595145,1,multi,1,1,[],clarified
n,y,0.7515681507059071,1,multi,1,1,[],incendiary
n,n,0.4750748469708697,1,multi,1,1,[],stead
y,y,0.7532210338316645,1,multi,1,1,[],quotation
n,n,0.7866098138169946,1,multi,1,1,[],biologist
y,y,1.0162851504330774,1,multi,1,1,[],insanity
y,y,0.9468889981262693,1,multi,1,1,[],shone
n,n,0.7708255461635645,1,multi,1,1,[],adhesive
n,n,0.9983359995,1,multi,1,1,[],chandelier
y,y,0.7098377344113942,1,multi,1,1,[],tabloid
y,y,0.5437748112750569,1,multi,1,1,[],sprang
y,y,0.6474247954703287,1,multi,1,1,[],shone
y,y,0.5610160558921962,1,multi,1,1,[],tabloid
n,y,0.5488827940304191,1,multi,1,1,[],singular
n,y,0.8188871568487457,1,multi,1,1,[],incendiary
y,y,0.8888818445466313,1,multi,1,1,[],wallet
n,n,0.7673656390206816,1,multi,1,1,[],biologist
n,y,0.778868215246689,1,multi,1,1,[],adhesive
n,y,0.5796613948277809,1,multi,1,1,[],stead
y,y,0.8688047680915361,1,multi,1,1,[],quotation
y,y,0.8790552876034781,1,multi,1,1,[],clarified
n,y,0.6595298131919662,1,multi,1,1,[],municipal
n,y,0.9453022183067789,1,multi,1,1,[],chandelier
y,y,0.7633648866449221,1,multi,1,1,[],acrid
y,y,0.6468493962364619,1,multi,1,1,[],sprang
n,n,0.8713770881132632,1,multi,1,1,[],tedious
y,y,0.946852641307828,1,multi,1,1,[],insanity
y,y,3.311432206251993,1,multi,2,1,['space'],shone
y,y,0.54118686683546,1,multi,2,1,[],sprang
n,n,0.933894289996374,1,multi,2,1,[],plaintive
n,n,0.7798895113282924,1,multi,2,1,[],astrologer
n,n,1.0234462417867007,1,multi,2,1,[],obstacle
y,y,0.8088863275527274,1,multi,2,1,[],wallet
n,n,0.7536669306792874,1,multi,2,1,[],esoteric
y,y,0.7790740369048308,1,multi,2,1,[],tabloid
y,y,0.6545855863543011,1,multi,2,1,[],quotation
n,n,0.6551029949605436,1,multi,2,1,[],diminutive
n,n,1.017762559327707,1,multi,2,1,[],abominable
y,n,1.6843873605670296,1,multi,2,1,[],clarified
y,y,0.5902700740716682,1,multi,2,1,[],insanity
n,m,1.4373358684952109,1,multi,2,1,[],statute
y,y,0.8253042855375269,1,multi,2,1,['n'],acrid
n,n,0.8602095354619905,1,multi,2,1,[],throne
n,y,0.9185727454865856,1,multi,2,1,[],plaintive
n,n,0.8113054080916982,1,multi,2,1,[],abominable
y,n,0.4680757087176062,1,multi,2,1,[],shone
y,y,0.6133888040229749,1,multi,2,1,[],wallet
y,y,0.7846495503172264,1,multi,2,1,[],acrid
