,stim,S,C,R,RT,block,cond,day,prestim_R
0,plufal,N,s,-1,-1,1,single,2,-1
1,pausing,W,d,-1,-1,1,single,2,-1
2,avatar,W,d,-1,-1,1,single,2,-1
3,exolcitest,N,s,-1,-1,1,single,2,-1
4,lening,N,s,-1,-1,1,single,2,-1
5,ordeal,W,d,-1,-1,1,single,2,-1
6,peculiar,P,j,-1,-1,1,single,2,-1
7,capeclon,N,s,-1,-1,1,single,2,-1
8,obscenity,W,d,-1,-1,1,single,2,-1
9,blasphemy,W,d,-1,-1,1,single,2,-1
10,rurple,N,s,-1,-1,1,single,2,-1
11,brinch,N,s,-1,-1,1,single,2,-1
12,peculiar,P,j,-1,-1,1,single,2,-1
13,copied,W,d,-1,-1,1,single,2,-1
14,vibilite,N,s,-1,-1,1,single,2,-1
15,irrigation,W,d,-1,-1,1,single,2,-1
16,mutiny,W,d,-1,-1,1,single,2,-1
17,chalation,N,s,-1,-1,1,single,2,-1
18,auspicious,W,d,-1,-1,1,single,2,-1
19,sternum,W,d,-1,-1,1,single,2,-1
20,betray,W,d,-1,-1,1,single,2,-1
21,demeanour,W,d,-1,-1,1,single,2,-1
22,detvified,N,s,-1,-1,1,single,2,-1
23,vexatious,W,d,-1,-1,1,single,2,-1
24,eclipsing,W,d,-1,-1,1,single,2,-1
25,miscleaf,N,s,-1,-1,1,single,2,-1
26,peculiar,P,j,-1,-1,1,single,2,-1
27,inteblent,N,s,-1,-1,1,single,2,-1
28,pelican,W,d,-1,-1,1,single,2,-1
29,scaling,W,d,-1,-1,1,single,2,-1
30,odmiaphe,N,s,-1,-1,1,single,2,-1
31,rosit,N,s,-1,-1,1,single,2,-1
32,asodind,N,s,-1,-1,1,single,2,-1
33,atrienes,N,s,-1,-1,1,single,2,-1
34,dennarage,N,s,-1,-1,1,single,2,-1
35,fisel,N,s,-1,-1,1,single,2,-1
36,grasy,N,s,-1,-1,1,single,2,-1
37,accompany,W,d,-1,-1,1,single,2,-1
38,shrug,W,d,-1,-1,1,single,2,-1
39,faring,W,d,-1,-1,1,single,2,-1
40,exploling,N,s,-1,-1,1,single,2,-1
41,peculiar,P,j,-1,-1,1,single,2,-1
42,fliset,N,s,-1,-1,1,single,2,-1
43,leddind,N,s,-1,-1,1,single,2,-1
44,smaping,N,s,-1,-1,1,single,2,-1
45,miquotrane,N,s,-1,-1,1,single,2,-1
46,orsial,N,s,-1,-1,1,single,2,-1
47,scrimb,N,s,-1,-1,1,single,2,-1
48,peculiar,P,j,-1,-1,1,single,2,-1
49,explicit,W,d,-1,-1,1,single,2,-1
50,plepsily,N,s,-1,-1,1,single,2,-1
51,denmuciate,N,s,-1,-1,1,single,2,-1
52,peculiar,P,j,-1,-1,1,single,2,-1
53,chloggle,N,s,-1,-1,1,single,2,-1
54,curtiff,N,s,-1,-1,1,single,2,-1
55,ferocious,W,d,-1,-1,1,single,2,-1
56,welcoming,W,d,-1,-1,1,single,2,-1
57,icotous,N,s,-1,-1,1,single,2,-1
58,misargery,N,s,-1,-1,1,single,2,-1
59,nuirian,N,s,-1,-1,1,single,2,-1
60,promenade,W,d,-1,-1,1,single,2,-1
61,collusion,W,d,-1,-1,1,single,2,-1
62,reignurst,N,s,-1,-1,1,single,2,-1
63,blazing,W,d,-1,-1,1,single,2,-1
64,consefrate,N,s,-1,-1,1,single,2,-1
65,peculiar,P,j,-1,-1,1,single,2,-1
66,atflirant,N,s,-1,-1,1,single,2,-1
67,cotmonic,N,s,-1,-1,1,single,2,-1
68,varalla,N,s,-1,-1,1,single,2,-1
69,garment,W,d,-1,-1,1,single,2,-1
70,aminofy,N,s,-1,-1,1,single,2,-1
71,conquer,W,d,-1,-1,1,single,2,-1
72,trampling,W,d,-1,-1,1,single,2,-1
73,celestial,W,d,-1,-1,1,single,2,-1
74,osmosis,W,d,-1,-1,1,single,2,-1
75,blenonic,N,s,-1,-1,1,single,2,-1
76,nullified,W,d,-1,-1,1,single,2,-1
77,vengeance,W,d,-1,-1,1,single,2,-1
78,pricier,W,d,-1,-1,1,single,2,-1
79,memorandum,W,d,-1,-1,1,single,2,-1
80,peculiar,P,j,-1,-1,1,single,2,-1
81,ploming,N,s,-1,-1,1,single,2,-1
82,reprisird,N,s,-1,-1,1,single,2,-1
83,hefoceable,N,s,-1,-1,1,single,2,-1
84,peculiar,P,j,-1,-1,1,single,2,-1
85,feminine,W,d,-1,-1,1,single,2,-1
86,wringre,N,s,-1,-1,1,single,2,-1
87,ranchel,N,s,-1,-1,1,single,2,-1
88,agnostic,W,d,-1,-1,1,single,2,-1
89,lystoden,N,s,-1,-1,1,single,2,-1
90,anwane,N,s,-1,-1,1,single,2,-1
91,lertle,N,s,-1,-1,1,single,2,-1
92,slunch,N,s,-1,-1,1,single,2,-1
93,peculiar,P,j,-1,-1,1,single,2,-1
94,resard,N,s,-1,-1,1,single,2,-1
95,propensity,W,d,-1,-1,1,single,2,-1
96,shroux,N,s,-1,-1,1,single,2,-1
97,chetette,N,s,-1,-1,1,single,2,-1
98,sequential,W,d,-1,-1,1,single,2,-1
99,obliterate,W,d,-1,-1,1,single,2,-1
100,retlisied,N,s,-1,-1,1,single,2,-1
101,fundennies,N,s,-1,-1,1,single,2,-1
102,splankle,N,s,-1,-1,1,single,2,-1
103,ingual,N,s,-1,-1,1,single,2,-1
104,scoft,N,s,-1,-1,1,single,2,-1
105,epopma,N,s,-1,-1,1,single,2,-1
106,ingretment,N,s,-1,-1,1,single,2,-1
107,peculiar,P,j,-1,-1,1,single,2,-1
108,physique,W,d,-1,-1,1,single,2,-1
109,bucirittic,N,s,-1,-1,1,single,2,-1
110,receipt,W,d,-1,-1,1,single,2,-1
111,aycacle,N,s,-1,-1,1,single,2,-1
112,coananct,N,s,-1,-1,1,single,2,-1
113,laren,N,s,-1,-1,1,single,2,-1
114,evoke,W,d,-1,-1,1,single,2,-1
115,cartilage,W,d,-1,-1,1,single,2,-1
116,arteries,W,d,-1,-1,1,single,2,-1
117,transmit,W,d,-1,-1,1,single,2,-1
118,peculiar,P,j,-1,-1,1,single,2,-1
119,berserk,W,d,-1,-1,1,single,2,-1
120,cutlery,W,d,-1,-1,1,single,2,-1
121,enhancing,W,d,-1,-1,1,single,2,-1
122,recealt,N,s,-1,-1,1,single,2,-1
123,crant,N,s,-1,-1,1,single,2,-1
124,diadocer,N,s,-1,-1,1,single,2,-1
125,peculiar,P,j,-1,-1,1,single,2,-1
126,meadow,W,d,-1,-1,1,single,2,-1
127,exploding,W,d,-1,-1,1,single,2,-1
128,shrub,W,d,-1,-1,1,single,2,-1
129,punshant,N,s,-1,-1,1,single,2,-1
130,enscudion,N,s,-1,-1,1,single,2,-1
131,arcane,W,d,-1,-1,1,single,2,-1
132,haphazard,W,d,-1,-1,1,single,2,-1
133,mound,W,d,-1,-1,1,single,2,-1
134,envam,N,s,-1,-1,1,single,2,-1
135,hyling,N,s,-1,-1,1,single,2,-1
136,wromicable,N,s,-1,-1,1,single,2,-1
137,peculiar,P,j,-1,-1,1,single,2,-1
138,stral,N,s,-1,-1,1,single,2,-1
139,destruct,W,d,-1,-1,1,single,2,-1
140,skucore,N,s,-1,-1,1,single,2,-1
141,penchant,W,d,-1,-1,1,single,2,-1
142,peculiar,P,j,-1,-1,1,single,2,-1
143,spile,N,s,-1,-1,1,single,2,-1
