,C,R,RT,S,cond,day,prestim_R,stim
0,s,s,2.3868022467941046,N,practice,1,[],cemmit
1,d,d,0.9653192330151796,W,practice,1,[],handle
2,s,s,0.7183596044778824,N,practice,1,[],fruqoant
3,s,s,0.922492440789938,N,practice,1,[],menaol
4,d,d,0.5182698853313923,W,practice,1,[],persuade
5,d,s,0.49186314083635807,W,practice,1,[],device
6,d,d,0.6093595586717129,W,practice,1,[],bold
7,d,d,0.5656442791223526,W,practice,1,[],seventh
8,d,d,0.45056664012372494,W,practice,1,[],album
9,s,s,0.6204949505627155,N,practice,1,[],mitoun
10,d,d,0.44290407188236713,W,practice,1,[],planet
11,s,s,0.6128326840698719,N,practice,1,[],bottir
12,s,s,0.5041586440056562,N,practice,1,[],fruod
13,d,d,0.452519990503788,W,practice,1,[],desk
14,s,s,0.512591015547514,N,practice,1,[],docint
15,s,s,0.556066220626235,N,practice,1,[],onstont
16,s,s,0.5817872937768698,N,practice,1,[],pluen
17,d,d,0.6378831099718809,W,practice,1,[],delay
18,s,s,0.5563120041042566,N,practice,1,[],berst
19,s,s,0.5430928561836481,N,practice,1,[],daluvory
20,d,s,0.4467509798705578,W,practice,1,[],silence
21,d,d,1.0507035925984383,W,practice,1,[],harm
22,d,d,0.5194155760109425,W,practice,1,[],escape
23,s,s,0.6049294397234917,N,practice,1,[],imorgu
