,stim,S,C,R,RT,block,cond,day,prestim_R
0,eucalypt,W,j,k,0.9212000276893377,1,single,1,[]
1,demedind,N,k,k,0.9510892478283495,1,single,1,[]
2,requiem,W,j,d,1.002803081413731,1,single,1,[]
3,ruttle,N,k,j,0.9610888778697699,1,single,1,[]
4,botunious,N,k,k,0.9082080197986215,1,single,1,[]
5,colgurudia,N,k,k,0.6058655283413827,1,single,1,[]
6,leash,W,j,d,0.7349899627733976,1,single,1,[]
7,mesified,N,k,j,3.2472676038742065,1,single,1,[]
8,hadfozard,N,k,k,1.510599818546325,1,single,1,[]
9,sychlom,N,k,k,0.7299570958130062,1,single,1,[]
10,constroke,N,k,k,0.9510976606979966,1,single,1,[]
11,turbulence,P,d,d,1.3020224913489074,1,single,1,[]
12,giraffe,W,j,k,1.257753694895655,1,single,1,[]
13,appease,W,j,d,0.6571695217862725,1,single,1,[]
14,connitzing,N,k,k,0.6720001033972949,1,single,1,[]
15,scoft,N,k,j,0.6286997203715146,1,single,1,[]
16,atrocities,W,j,j,2.54113865387626,1,single,1,[]
17,residency,W,j,j,1.189717146800831,1,single,1,[]
18,gimmick,W,j,j,0.7695878427475691,1,single,1,[]
19,turbulence,P,d,d,0.6611086789052933,1,single,1,[]
20,wrofolity,N,k,k,0.7687696637585759,1,single,1,[]
21,authimable,N,k,k,0.9322507008910179,1,single,1,[]
22,occupant,W,j,j,1.1760442748200148,1,single,1,[]
23,prominence,W,j,j,0.7858023878652602,1,single,1,[]
24,stusciaphy,N,k,k,0.7754133485723287,1,single,1,[]
25,coffin,W,j,j,0.8268582622986287,1,single,1,[]
26,apange,N,k,k,0.7108817792031914,1,single,1,[]
27,celery,W,j,j,0.7768850491847843,1,single,1,[]
28,utbiate,N,k,k,0.6523740256670862,1,single,1,[]
29,chore,W,j,j,0.851858239620924,1,single,1,[]
30,turbulence,P,d,d,0.6599849225021899,1,single,1,[]
31,esove,N,k,k,0.6625951023306698,1,single,1,[]
32,authentic,W,j,j,0.7542876270599663,1,single,1,[]
33,wromocian,N,k,k,0.6116537759080529,1,single,1,[]
34,devath,N,k,k,0.9349071534816176,1,single,1,[]
35,debiciate,N,k,k,1.0186877108644694,1,single,1,[]
36,poving,N,k,k,0.6761841434054077,1,single,1,[]
37,suspense,W,j,j,0.7699781528208405,1,single,1,[]
38,grasing,N,k,k,0.9745135621633381,1,single,1,[]
39,turbulence,P,d,d,1.5766057923901826,1,single,1,[]
40,obviate,W,j,j,1.1494460992980748,1,single,1,[]
41,boontidol,N,k,k,0.777968542650342,1,single,1,[]
42,tuxedo,W,j,j,0.6624965483788401,1,single,1,[]
43,extremist,W,j,j,0.5851544549223036,1,single,1,[]
44,codnin,N,k,k,0.6801587562076747,1,single,1,[]
45,calloge,N,k,k,0.6779340787325054,1,single,1,[]
46,ceydery,N,k,k,1.4757170933298767,1,single,1,[]
47,mamexucate,N,k,k,0.6748548657633364,1,single,1,[]
48,strilt,N,k,k,0.6156046516261995,1,single,1,[]
49,mirage,W,j,j,0.6118806307204068,1,single,1,[]
50,affable,W,j,k,0.7201524705160409,1,single,1,[]
51,turbulence,P,d,d,0.6703643463551998,1,single,1,[]
52,remiriade,N,k,k,0.7300021662376821,1,single,1,[]
53,ominous,W,j,j,0.6382185996044427,1,single,1,[]
54,composure,W,j,j,0.6045476684812456,1,single,1,[]
55,retentive,W,j,j,0.3907151266466826,1,single,1,[]
56,indulging,W,j,j,0.7351023384835571,1,single,1,[]
57,welcoming,W,j,j,0.49440209986642003,1,single,1,[]
58,turbulence,P,d,d,0.43970129708759487,1,single,1,[]
59,stumia,N,k,k,0.6165706615429372,1,single,1,[]
60,bulble,N,k,k,1.0448081397917122,1,single,1,[]
61,thwame,N,k,k,0.6175036197528243,1,single,1,[]
62,reciting,W,j,j,0.6047417719382793,1,single,1,[]
63,esspitic,N,k,k,0.6629481541458517,1,single,1,[]
64,ugagra,N,k,k,0.713532823137939,1,single,1,[]
65,analogy,W,j,j,0.596606555627659,1,single,1,[]
66,unare,N,k,k,0.5657023494131863,1,single,1,[]
67,sticker,W,j,j,0.6586286025121808,1,single,1,[]
68,turbulence,P,d,d,0.6543424024712294,1,single,1,[]
69,cympy,N,k,k,0.6068032942712307,1,single,1,[]
70,nuodance,N,k,k,0.5550996761303395,1,single,1,[]
71,interrupt,W,j,j,0.5568574236240238,1,single,1,[]
72,ruflex,N,k,k,0.7916176777798682,1,single,1,[]
73,dright,N,k,k,0.5022924332879484,1,single,1,[]
74,envam,N,k,k,0.44064447144046426,1,single,1,[]
