C,R,RT,block,cond,count,day,prestim_R,stim
y,y,1.7804954573512075,1,multi,1,1,[],tiring
n,n,0.8672376386821271,1,multi,1,1,[],armies
n,n,0.6294525414705276,1,multi,1,1,[],unified
y,y,0.979877570644021,1,multi,1,1,[],dispatch
n,n,0.5979997161775827,1,multi,1,1,[],maroon
n,n,0.6801837775856256,1,multi,1,1,[],manganese
y,y,1.2380074448883531,1,multi,1,1,[],miraculous
n,n,1.2082267291843891,1,multi,1,1,[],interact
n,n,0.5592635124921799,1,multi,1,1,[],croft
y,y,0.5802242513746023,1,multi,1,1,[],relativity
y,y,0.5472558587789536,1,multi,1,1,[],alternate
y,y,0.8460371252149343,1,multi,1,1,[],disturb
n,n,0.5011927131563425,1,multi,1,1,[],mortuary
n,n,0.5665180440992117,1,multi,1,1,[],capsule
y,y,0.6674327626824379,1,multi,1,1,[],divinity
y,y,0.5660634338855743,1,multi,1,1,[],discrete
y,y,1.1949516944587228,1,multi,1,1,[],discrete
y,y,0.5839572828263044,1,multi,1,1,[],divinity
n,n,0.5829852633178234,1,multi,1,1,[],unified
n,n,1.0459751076996326,1,multi,1,1,[],croft
n,n,0.5487705245614052,1,multi,1,1,[],maroon
n,n,0.647582558915019,1,multi,1,1,[],manganese
y,y,0.7201452944427729,1,multi,1,1,[],dispatch
y,y,0.5493735671043396,1,multi,1,1,[],relativity
n,n,0.5991195663809776,1,multi,1,1,[],capsule
n,n,2.857304124161601,1,multi,1,1,[],interact
n,n,1.8984612058848145,1,multi,1,1,[],mortuary
y,y,0.4899903163313866,1,multi,1,1,[],disturb
y,y,0.5142472013831139,1,multi,1,1,[],miraculous
n,n,0.6296646744012833,1,multi,1,1,[],armies
y,y,0.6680814772844315,1,multi,1,1,[],alternate
y,y,0.5437848381698132,1,multi,1,1,[],tiring
n,n,0.5923638120293617,2,single,2,1,[],plaguing
n,n,0.3844417594373226,2,single,2,1,[],symphonies
n,n,0.330985264852643,2,single,2,1,[],zoning
n,n,0.36400654166936874,2,single,2,1,[],intellect
y,y,0.6503652054816484,2,single,2,1,[],algae
y,y,0.4828980378806591,2,single,2,1,[],algae
n,n,0.42816755548119545,2,single,2,1,[],eradicate
y,y,0.4519917666912079,2,single,2,1,[],algae
n,n,0.3920538481324911,2,single,2,1,[],pedigree
y,y,0.5225993487983942,2,single,2,1,[],algae
y,y,0.46416558139026165,2,single,2,1,[],algae
y,y,0.4772317875176668,2,single,2,1,[],algae
n,n,0.5713814403861761,2,single,2,1,[],anticipate
n,n,0.4562890790402889,2,single,2,1,[],astrologer
y,y,0.41233102045953274,2,single,2,1,[],algae
y,y,0.3860402572900057,2,single,2,1,[],algae
y,y,0.35450810566544533,2,single,2,1,[],algae
n,n,0.6466859579086304,2,single,2,1,[],pedigree
y,y,0.49521517753601074,2,single,2,1,[],algae
n,n,4.600522756576538,2,single,2,1,[],eradicate
n,n,0.6894989274442196,2,single,2,1,[],intellect
n,n,0.5513061843812466,2,single,2,1,[],astrologer
y,y,0.7141250912100077,2,single,2,1,[],algae
y,y,0.484162412583828,2,single,2,1,[],algae
n,n,0.6374735701829195,2,single,2,1,[],symphonies
y,y,0.5558784268796444,2,single,2,1,[],algae
n,n,0.9346722643822432,2,single,2,1,[],zoning
y,y,0.57153738476336,2,single,2,1,[],algae
y,y,0.5765227694064379,2,single,2,1,[],algae
y,y,0.49339913949370384,2,single,2,1,[],algae
n,n,0.6147043071687222,2,single,2,1,[],anticipate
n,n,0.44301885180175304,2,single,2,1,[],plaguing
