,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,0.7250270191580057,N,practice,2,[],fruod
1,k,k,0.5371642969548702,W,practice,2,[],bold
2,k,k,0.4898629169911146,W,practice,2,[],seventh
3,j,j,0.6271470412611961,N,practice,2,[],cemmit
4,j,j,0.5295924711972475,N,practice,2,[],fruqoant
5,j,j,0.4551175478845835,N,practice,2,[],pluen
6,j,j,0.7951253056526184,N,practice,2,[],berst
7,k,k,0.6818180326372385,W,practice,2,[],handle
8,k,k,0.5745991673320532,W,practice,2,[],delay
9,k,k,0.46061403304338455,W,practice,2,[],escape
10,k,k,0.47260425984859467,W,practice,2,[],persuade
11,k,k,0.8307669758796692,W,practice,2,[],device
12,k,k,0.36377548053860664,W,practice,2,[],desk
13,j,j,0.5381038654595613,N,practice,2,[],onstont
14,j,j,0.5628078486770391,N,practice,2,[],mitoun
15,j,j,0.7997333034873009,N,practice,2,[],daluvory
16,k,k,0.552523385733366,W,practice,2,[],silence
17,k,k,0.7142690159380436,W,practice,2,[],album
18,j,j,0.4613733198493719,N,practice,2,[],imorgu
19,j,j,0.945404727011919,N,practice,2,[],menaol
20,j,j,0.5673019699752331,N,practice,2,[],docint
21,k,k,0.6122344490140676,W,practice,2,[],harm
22,k,k,0.6245909482240677,W,practice,2,[],planet
23,j,j,0.5029684863984585,N,practice,2,[],bottir
